keywords,keyword_theme,event,speaker(s),other_tags,speaker_occupation,views,comments,popularity_index,video,description,year_published,year_filmed,date_published,#_languages,duration_(min),TED_url,label,id,photo,Cluster,theme_centrality,theme_bridging,x_tsne,y_tsne,x_force_directed,y_force_directed
culture|parenting|teaching|creativity|children|dance|education,"global issues, war, education",TED2006,Ken Robinson,,Author/educator,47227110,4553,0.96,https://embed.ted.com/talks/ken_robinson_says_schools_kill_creativity,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,2006,2006,1151367060,60,19.4,https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity,Ken Robinson: Do schools kill creativity?,0,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/sir_ken_robinson_do_schools_kill_creativity.png,Cluster_0,0.5296916915037865,-0.08568916710928322,-1.877530813217163,6.449951648712158,0.17461855709552765,-0.04247735068202019
science|culture|alternative energy|sustainability|technology|brand|humor|global issues|environment|cars|climate change|humanity,"business, global issues, technology",TED2006,Al Gore,,Climate advocate,3200520,265,0.5,https://embed.ted.com/talks/al_gore_on_averting_climate_crisis,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",2006,2006,1151367060,43,16.28,https://www.ted.com/talks/al_gore_on_averting_climate_crisis,Al Gore: Averting the climate crisis,1,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/al_gore_averting_the_climate_crisis.png,Cluster_1,-0.112678157333319,-0.3054389206228583,-11.501596450805664,-23.947755813598633,-0.15471501648426056,0.20201542973518372
entertainment|technology|simplicity|interface design|software|performance|computers|media|music,"music, live music, performance",TED2006,David Pogue,,Technology columnist,1636292,124,0.24,https://embed.ted.com/talks/david_pogue_says_simplicity_sells,"New York Times columnist David Pogue takes aim at technologyÛªs worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.",2006,2006,1151367060,26,21.43,https://www.ted.com/talks/david_pogue_says_simplicity_sells,David Pogue: Simplicity sells,2,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/david_pogue_simplicity_sells.png,Cluster_4,-0.534352668634301,0.7709186680669214,-21.731769561767578,29.206157684326172,0.014828476123511791,-0.26035648584365845
green|inequality|pollution|cities|urban|macarthur grant|policy|business|environment|activism|politics,"global issues, war, education",TED2006,Majora Carter,macarthur grant,Activist for environmental justice,1697550,200,0.24,https://embed.ted.com/talks/majora_carter_s_tale_of_urban_renewal,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.",2006,2006,1151367060,35,18.6,https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal,Majora Carter: Greening the ghetto,3,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/majora_carter_greening_the_ghetto.png,Cluster_0,-1.160047543637939,-0.01672664831219057,1.6851797103881836,-10.79828929901123,0.01965523324906826,0.1894940286874771
visualizations|data|economics|demo|math|asia|africa|global development|health|google|statistics|global issues,"statistics, visualizations, data",TED2006,Hans Rosling,,Global health expert; data visionary,12005869,593,0.79,https://embed.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""",2006,2006,1151440680,48,19.83,https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen,Hans Rosling: The best stats you've ever seen,4,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/hans_rosling_the_best_stats_you_ve_ever_seen.png,Cluster_6,1.599057229994186,-0.2128585764202849,29.05110740661621,-16.797574996948242,-0.07477843761444092,0.42633944749832153
culture|goal-setting|entertainment|psychology|potential|motivation|business,"culture, business, technology",TED2006,Tony Robbins,,Life coach; expert in leadership psychology,20685401,672,0.87,https://embed.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",2006,2006,1151440680,36,21.75,https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do,Tony Robbins: Why we do what we do,5,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/tony_robbins_why_we_do_what_we_do.png,Cluster_3,-0.5979842952614909,-0.06434574081815767,6.596097946166992,19.526517868041992,0.0313802994787693,-0.2462080866098404
storytelling|culture|christianity|god|humor|performance|atheism|comedy|religion,"comedy, humor, spoken word",TED2006,Julia Sweeney,,"Actor, comedian, playwright",3769987,919,0.47,https://embed.ted.com/talks/julia_sweeney_on_letting_go_of_god,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  ",2006,2006,1152490260,31,16.53,https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god,Julia Sweeney: Letting go of God,6,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/julia_sweeney_letting_go_of_god.png,Cluster_10,-0.7791061541734096,-0.0990832700367043,-11.578479766845703,29.241878509521484,0.40391409397125244,-0.3063149154186249
culture|theater|library|architecture|design|collaboration,"design, art, architecture",TED2006,Joshua Prince-Ramus,,Architect,967741,46,-0.03,https://embed.ted.com/talks/joshua_prince_ramus_on_seattle_s_library,"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.",2006,2006,1152490260,19,19.97,https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library,Joshua Prince-Ramus: Behind the design of Seattle's library,7,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/joshua_prince_ramus_behind_the_design_of_seattle_s_library.png,Cluster_12,0.7445094120950456,-0.8309383853913562,-27.28188705444336,2.548431634902954,0.04069116339087486,0.1777038872241974
philosophy|evolution|god|brain|nature|cognitive science|consciousness|atheism|religion,"culture, religion, language",TED2006,Dan Dennett,ted brain trust,"Philosopher, cognitive scientist",2567958,852,0.26,https://embed.ted.com/talks/dan_dennett_s_response_to_rick_warren,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.",2006,2006,1153181460,32,24.75,https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren,Dan Dennett: Let's teach religion -- all religion -- in schools,8,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/dan_dennett_let_s_teach_religion_all_religion_in_schools.png,Cluster_11,-0.2998321232056257,-0.9346004195979255,12.645651817321777,18.955162048339844,0.4885898232460022,-0.2997726798057556
culture|christianity|leadership|god|philanthropy|happiness|motivation|religion|success,"culture, religion, language",TED2006,Rick Warren,,"Pastor, author",3095993,900,0.35,https://embed.ted.com/talks/rick_warren_on_a_life_of_purpose,"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.",2006,2006,1153181460,31,21.03,https://www.ted.com/talks/rick_warren_on_a_life_of_purpose,Rick Warren: A life of purpose,9,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/rick_warren_a_life_of_purpose.png,Cluster_11,-0.9916023122012806,-0.131275097402283,6.247502326965332,17.37416648864746,0.3903367817401886,-0.1029568463563919
