From,To,Label,Type,Tags,Description,category,confidence,flat,negative,positive,skip,fromName,toName,Source,Target,votes,fracPos,fracNeg,fracFlat,sign,isPos,isNeg,new_sign
20,19,,,,,all,2.333333333333333,0,0,3,0,the time they spend being a part of their heritage and culture,the time they spend learning about their heritage and culture,20,19,3,1.0,0.0,0.0,positive,1,0,positive
1,75,,,,,all,2.6,1,0,4,0,their access to trusted information about mental health,their ability to set goals and take actions towards those goals,1,75,5,0.8,0.0,0.2,positive,1,0,positive
74,35,,,,,all,2.4,0,0,4,1,their ability to consider the purpose and meaning of a good life,their ability to recover from negative or adverse events that happen to them (online or in person),74,35,4,1.0,0.0,0.0,positive,1,0,positive
75,6,,,,,all,2.25,1,0,3,0,their ability to set goals and take actions towards those goals,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",75,6,4,0.75,0.0,0.25,positive,1,0,positive
21,18,,,,,all,2.25,1,0,3,0,their ability to help others and/or contribute to something bigger than themselves,the number of places and groups of people where they are welcome and appreciated,21,18,4,0.75,0.0,0.25,positive,1,0,positive
56,12,,,,,all,2.2,0,0,4,1,their certainty that they matter to themself and to others,the time they spend with friends in person,56,12,4,1.0,0.0,0.0,positive,1,0,positive
48,53,,,,,all,2.2,1,0,4,0,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",their ability to recognize mental health challenges they should seek support for,48,53,5,0.8,0.0,0.2,positive,1,0,positive
13,9,,,,,all,2.25,0,0,4,0,their awareness of what's happening among their friends,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),13,9,4,1.0,0.0,0.0,positive,1,0,positive
4,7,,,,,all,2.5,1,0,3,0,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially","the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)",4,7,4,0.75,0.0,0.25,positive,1,0,positive
1,22,,,,,all,2.25,1,0,3,0,their access to trusted information about mental health,"time they spend connecting with others toward a shared goal, mission, faith, culture, interest",1,22,4,0.75,0.0,0.25,positive,1,0,positive
