Label,Tags,Category,Impact Measure,Opportunity Area,Description,Causal Cluster,Avg Keystone Score,Avg Keystone Score 2in,Upstream <<-->> Downstream,Avg Leverage,Avg 2-Degree Leverage,Avg 2-Degree Reach,Avg Keystone Score (Pctl),Avg Keystone Score 2in (Pctl),Upstream <<-->> Downstream (Pctl),Avg Leverage (Pctl),Avg 2-Degree Leverage (Pctl),Avg 2-Degree Reach (Pctl),Top Keystones (75pctl),Degree,Direct Incoming,Direct Outgoing,Frac Neg Out,Frac Neg In,Causal Cluster ID,ClusterCentrality,ClusterBridging,Name,id,x_tsne,y_tsne,x_spring,y_spring,Clustered_1_X,Clustered_1_Y,category_cluster_X,category_cluster_Y,causal cluster_X,causal cluster_Y,label,OriginalLabel,OriginalX,OriginalY,OriginalSize
"their exposure to positive parenting (consistent, respectful, supportive)",relationship|trust|encouragement|coping,Connected to People,Enhance Development of Protective Factors ,Positive Relationships,empty,Proficiency,0.789112248,0.522469647,0.521049125,0.903782912,0.275409139,0.933844156,98.41578947,97.03684211,6.932894737,96.19605263,95.03684211,77.09473684,Yes,47,7,40,0.075,0,Cluster_0,-1.354462649,0.930152694,"their exposure to positive parenting (consistent, respectful, supportive)",26,0.825168788,-0.554409385,-0.231152466,0.187255707,1584.498057,1432.885507,-2172.913524,-1143.187422,50.24644669,2984.249006,"their exposure to positive parenting (consistent, respectful, supportive)","their exposure to positive parenting (consistent, respectful, supportive)",0.825168788,-0.554409385,10
their access to mental health resources,resources,Connected to People,Reduce Trauma & Effects of Trauma,Accessible Resources ,empty,Proficiency,0.743064802,0.453986625,0.628269423,0.867518935,0.208620221,0.937350649,97.16184211,95.51973684,11.03947368,92.65,92.95921053,79.36052632,Yes,49,10,39,0.051282051,0,Cluster_0,-1.267309901,1.083217101,their access to mental health resources,2,0.89470005,-0.651299417,-0.311373103,0.539912515,389.0179388,-516.5418116,-1599.13836,-42.18244531,2259.909659,2266.047244,their access to mental health resources,their access to mental health resources,0.89470005,-0.651299417,10
their access to trusted information about mental health,resources,Personal Skills ,Reduce Trauma & Effects of Trauma,Accessible Resources ,"""trusted"" means having reliable information you can count on to make good decisions",Proficiency,0.690265875,0.379700622,0.661748541,0.851606615,0.155441122,0.923376623,94.9,91.65789474,12.80131579,90.88026316,89.99736842,70.33289474,Yes,48,11,37,0.054054054,0.090909091,Cluster_0,-1.256126391,0.852207967,their access to trusted information about mental health,1,1.233011365,-1.615813375,-0.368235732,0.398183606,-285.7536683,4768.275877,-968.3807253,-2363.696103,-108.7229823,4732.958688,their access to trusted information about mental health,their access to trusted information about mental health,1.233011365,-1.615813375,10
the time they spend with friends online,time|relationships|online,Seeing Things Clearly ,Reduce Trauma & Effects of Trauma,Positive Relationships,empty,Engagement,0.597607339,0.403970091,0.604867315,0.843966555,0.225619338,0.883402597,87.68026316,91.21578947,8.773684211,89.92236842,93.375,47.26052632,Yes,36,11,25,0.24,0.454545455,Cluster_1,-1.3997029,0.33845442,the time they spend with friends online,11,-0.986785948,-0.263875604,0.27797464,-0.522421317,1983.103164,-4282.52096,2461.359284,-3128.168137,-2128.182868,-1499.565814,the time they spend with friends online,the time they spend with friends online,-0.986785948,-0.263875604,10
"the ability of ""the internet"" to remember or keep positive moments of their life forever accessible",highlights|identity,Personal Skills ,Enhance Development of Protective Factors ,Balanced Content,empty,Engagement,0.620864538,0.52584584,0.225106272,0.939412944,0.462521393,0.844636364,87.52368421,93.95131579,1.747368421,98.49605263,98.00657895,31.43421053,Yes,25,4,21,0.047619048,0,Cluster_1,-2.216214699,0.699361275,"the ability of ""the internet"" to remember or keep positive moments of their life forever accessible",31,-0.37270385,1.161146045,-0.071993192,-0.820079127,-985.9434679,3031.16152,-1913.299158,-4223.681626,-3754.280677,-392.2349386,"the ability of ""the internet"" to remember or keep positive moments of their life forever accessible","the ability of ""the internet"" to remember or keep positive moments of their life forever accessible",-0.37270385,1.161146045,10
"their access to resources of daily life (food, shelter, safe environment, money)",resources|comfort,Connected to People,Encourage Prosocial Relationships,Accessible Resources ,"""resources"" means having enough of the basics to lives safely and securely",Proficiency,0.575013626,0.261881391,0.794039654,0.79957856,0.065135464,0.901493506,86.28157895,76.98552632,27.08289474,83.63815789,80.61315789,56.99210526,Yes,44,15,29,0.034482759,0,Cluster_0,-1.325052427,0.286874457,"their access to resources of daily life (food, shelter, safe environment, money)",5,0.332956642,-1.464814425,0.387115038,0.361995475,240.1489157,-726.7191241,-4018.133524,556.4777109,-687.3081787,1405.899287,"their access to resources of daily life (food, shelter, safe environment, money)","their access to resources of daily life (food, shelter, safe environment, money)",0.332956642,-1.464814425,10
"the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)",harm|bullying|coping,Taking Care of Myself,Enhance Development of Protective Factors ,Balanced Content,empty,Engagement,0.561876351,0.319197507,0.607795127,0.833118896,0.152340978,0.872701299,84.93947368,83.44342105,9.248684211,88.42763158,88.65789474,41.20263158,Yes,39,12,27,0.888888889,0.916666667,Cluster_1,-1.029634029,-0.137251646,"the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)",29,-0.862851679,0.368746072,0.655093602,0.05841167,-3469.246072,2124.583423,1032.310972,-762.4442647,-1755.39396,-3219.484282,"the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)","the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)",-0.862851679,0.368746072,10
their exposure to hurtful/hateful personal content (like mocking and bullying),harm|bullying,Connected to People,Enhance Development of Protective Factors ,Balanced Content,empty,Engagement,0.527899988,0.237885857,0.819455325,0.742812828,0.028481574,0.92012987,81.83815789,72.09210526,29.98684211,73.45394737,72.27894737,68.24868421,Yes,53,20,33,0.939393939,0.75,Cluster_1,-0.493258952,0.987074275,their exposure to hurtful/hateful personal content (like mocking and bullying),25,-0.38923648,-0.204613104,0.210008799,0.290065556,871.7617946,-588.5729852,-3317.699105,515.146739,-3194.056916,-2094.426292,their exposure to hurtful/hateful personal content (like mocking and bullying),their exposure to hurtful/hateful personal content (like mocking and bullying),-0.38923648,-0.204613104,10
"their access to trusted information about mental, physical and sexual health & development",resources|trust,How I View Myself,Enhance Development of Protective Factors ,Accessible Resources ,"""trusted"" means having reliable information you can count on to make good decisions",Proficiency,0.528673323,0.281291199,0.624048011,0.829458428,0.126387686,0.858155844,80.90394737,75.34078947,10.00131579,87.89605263,85.66973684,34.86973684,Yes,37,12,25,0,0,Cluster_0,-1.281726152,-1.00998423,"their access to trusted information about mental, physical and sexual health & development",0,0.80848974,-0.577585459,-0.751876044,0.26220909,5020.780144,-1784.49246,3323.042443,1314.619915,-861.9735409,2157.574747,"their access to trusted information about mental, physical and sexual health & development","their access to trusted information about mental, physical and sexual health & development",0.80848974,-0.577585459,10
their ability to control and moderate the content they process online,discipline|understanding|skill,Seeing Things Clearly ,Enhance Development of Protective Factors ,Balanced Content,empty,Engagement,0.505416661,0.219587451,0.808603658,0.723270936,0.011681418,0.923662338,79.70394737,68.5,28.04342105,69.47894737,66.73289474,70.72763158,Yes,56,22,34,0.088235294,0.045454545,Cluster_1,-0.302817482,1.017503877,their ability to control and moderate the content they process online,39,-0.107190162,-0.838684797,0.301181342,0.207336621,1427.18085,-3826.965738,3506.8732,-2413.832338,-51.18659804,-177.4111156,their ability to control and moderate the content they process online,their ability to control and moderate the content they process online,-0.107190162,-0.838684797,10
